article,article_id,onclick
"중국공산당 중앙위원회 총서기,중화인민공화국 주석 습근평동지가 조선을 방문한다",AR0126286,"fn_showArticle(""AR0126286"", """", ""NT41"", ""L"")"
평안남도양생원 새로 건설,AR0126285,"fn_showArticle(""AR0126285"", """", ""NT41"", ""L"")"
조선에서 적십자활동 활발,AR0126284,"fn_showArticle(""AR0126284"", """", ""NT41"", ""L"")"
평양국제건강 및 의료기구부문 과학기술전시회 개막,AR0126283,"fn_showArticle(""AR0126283"", """", ""NT41"", ""L"")"
조선정부대표단 나이제리아방문을 마치고 귀국,AR0126282,"fn_showArticle(""AR0126282"", """", ""NT41"", ""L"")"
김재룡동지 덕천지구탄광련합기업소 현지료해,AR0126281,"fn_showArticle(""AR0126281"", """", ""NT41"", ""L"")"
"김정은각하의 존함은 인류의 보호자,은인으로 길이 빛날것이라고 여러 나라 인사들 칭송",AR0126280,"fn_showArticle(""AR0126280"", """", ""NT41"", ""L"")"
100여만마리의 새끼가재미 방류,AR0126279,"fn_showArticle(""AR0126279"", """", ""NT41"", ""L"")"
2018년-2019년 조선민주주의인민공화국 1부류축구련맹전소식(14),AR0126278,"fn_showArticle(""AR0126278"", """", ""NT41"", ""L"")"
량면술책은 통하지 않는다--조선중앙통신사 론평,AR0126277,"fn_showArticle(""AR0126277"", """", ""NT41"", ""L"")"
밭농사의 새 력사를 펼치시여--수령님과 일화,AR0126276,"fn_showArticle(""AR0126276"", """", ""NT41"", ""L"")"
주체108(2019)년 6월 17일 《로동신문》개관,AR0126262,"fn_showArticle(""AR0126262"", """", ""NT41"", ""L"")"
《로동신문》 과학기술과 교육은 자력갱생대진군의 견인기라고 강조,AR0126260,"fn_showArticle(""AR0126260"", """", ""NT41"", ""L"")"
반제민전 평양지부 대표 공동선언리행에 총력을 경주해갈것이라고 강조,AR0126233,"fn_showArticle(""AR0126233"", """", ""NT04"", ""L"")"
6.15공동선언실천 민족공동위원회 결의문,AR0126228,"fn_showArticle(""AR0126228"", """", ""NT04"", ""L"")"
조국통일연구원 상보,AR0125916,"fn_showArticle(""AR0125916"", """", ""NT04"", ""L"")"
조선민주주의인민공화국 조국평화통일위원회 통일선전국 고발장,AR0125556,"fn_showArticle(""AR0125556"", """", ""NT04"", ""L"")"
파멸의 운명에 처한자들의 부질없는 대결광증--조선중앙통신사 론평,AR0125472,"fn_showArticle(""AR0125472"", """", ""NT04"", ""L"")"
반제민전 중앙위원회 전국민이 일치단합하여 보수적페세력들을 척결하고 항쟁용사들이 바라던 념원을 성취하자고 호소,AR0125350,"fn_showArticle(""AR0125350"", """", ""NT04"", ""L"")"
거세찬 역풍을 몰아오는 《북풍몰이》--조선중앙통신사 론평,AR0125232,"fn_showArticle(""AR0125232"", """", ""NT04"", ""L"")"
최룡해동지 세이쉘공화국 국경절을 축하,AR0126295,"fn_showArticle(""AR0126295"", """", ""NT03"", ""L"")"
"6.12조미공동성명채택 1돐에 즈음하여 로씨야,알제리인사 담화 발표",AR0126290,"fn_showArticle(""AR0126290"", """", ""NT03"", ""L"")"
김일성주석회고위원회 쿠웨이트에서 결성,AR0126289,"fn_showArticle(""AR0126289"", """", ""NT03"", ""L"")"
김일성주석회고 수리아통일사회주의자당위원회 결성,AR0126288,"fn_showArticle(""AR0126288"", """", ""NT03"", ""L"")"
김정은동지께 베네수엘라 까라보보주 나구아나구아시가 최고훈장을 수여해드리였다,AR0126287,"fn_showArticle(""AR0126287"", """", ""NT03"", ""L"")"
"중국공산당 중앙위원회 총서기,중화인민공화국 주석 습근평동지가 조선을 방문한다",AR0126286,"fn_showArticle(""AR0126286"", """", ""NT03"", ""L"")"
조선에서 적십자활동 활발,AR0126284,"fn_showArticle(""AR0126284"", """", ""NT03"", ""L"")"
평양국제건강 및 의료기구부문 과학기술전시회 개막,AR0126283,"fn_showArticle(""AR0126283"", """", ""NT03"", ""L"")"
사회적진보와 발전을 위하여,AR0126311,"fn_showArticle(""AR0126311"", """", ""NT06"", ""L"")"
중국외교부 부부장 내정간섭을 중지할것을 미국에 요구,AR0126308,"fn_showArticle(""AR0126308"", """", ""NT06"", ""L"")"
로씨야 나토의 군사연습에 대응,AR0126306,"fn_showArticle(""AR0126306"", """", ""NT06"", ""L"")"
"로씨야,벨라루씨,쓰르비아 합동군사훈련 진행",AR0126304,"fn_showArticle(""AR0126304"", """", ""NT06"", ""L"")"
일본과 통가에서 지진,AR0126302,"fn_showArticle(""AR0126302"", """", ""NT06"", ""L"")"
꾸바국가리사회 위원장 경제부문에서 무책임한 일본새를 없앨것을 호소,AR0126300,"fn_showArticle(""AR0126300"", """", ""NT06"", ""L"")"
중국 중경시에서의 사막화방지사업,AR0126307,"fn_showArticle(""AR0126307"", """", ""NT06"", ""L"")"
나미비아대통령 어린이보호문제에 언급,AR0126305,"fn_showArticle(""AR0126305"", """", ""NT06"", ""L"")"
몽골에서 폭우와 큰물,AR0126303,"fn_showArticle(""AR0126303"", """", ""NT06"", ""L"")"
로씨야 나토가 존재할 명분이 없다고 주장,AR0126301,"fn_showArticle(""AR0126301"", """", ""NT06"", ""L"")"
인도네시아와 온두라스에서 교통사고,AR0126299,"fn_showArticle(""AR0126299"", """", ""NT06"", ""L"")"
6.15공동선언실천 민족공동위원회 결의문,AR0126228,"fn_showArticle(""AR0126228"", """", ""NT17"", ""L"")"
조국통일연구원 상보,AR0125916,"fn_showArticle(""AR0125916"", """", ""NT17"", ""L"")"
조선민주주의인민공화국 외무성 대변인담화,AR0125883,"fn_showArticle(""AR0125883"", """", ""NT17"", ""L"")"
조선민주주의인민공화국 외무성 미국연구소 정책연구실장의 담화,AR0125700,"fn_showArticle(""AR0125700"", """", ""NT17"", ""L"")"
조선민주주의인민공화국 조국평화통일위원회 통일선전국 고발장,AR0125556,"fn_showArticle(""AR0125556"", """", ""NT17"", ""L"")"
반제민전 중앙위원회 전국민이 일치단합하여 보수적페세력들을 척결하고 항쟁용사들이 바라던 념원을 성취하자고 호소,AR0125350,"fn_showArticle(""AR0125350"", """", ""NT17"", ""L"")"
5.1절 129돐기념 북남로동자단체 공동성명,AR0124794,"fn_showArticle(""AR0124794"", """", ""NT17"", ""L"")"
《로동신문》 혁명과 건설에서 주체성과 민족성을 고수해나갈데 대해 강조,AR0126293,"fn_showArticle(""AR0126293"", """", ""NT16"", ""L"")"
주체108(2019)년 6월 18일 신문개관,AR0126292,"fn_showArticle(""AR0126292"", """", ""NT16"", ""L"")"
주체108(2019)년 6월 17일 《로동신문》개관,AR0126262,"fn_showArticle(""AR0126262"", """", ""NT16"", ""L"")"
《로동신문》 과학기술과 교육은 자력갱생대진군의 견인기라고 강조,AR0126260,"fn_showArticle(""AR0126260"", """", ""NT16"", ""L"")"
사죄와 배상의 책임에서 절대로 벗어날수 없다,AR0126235,"fn_showArticle(""AR0126235"", """", ""NT16"", ""L"")"
《민주조선》 공화국은 앞으로도 환경보호사업에 계속 큰 힘을 넣을것이라고 강조,AR0126234,"fn_showArticle(""AR0126234"", """", ""NT16"", ""L"")"
《로동신문》 당의 령도는 사회주의국가건설과 활동의 생명선이라고 강조,AR0126203,"fn_showArticle(""AR0126203"", """", ""NT16"", ""L"")"
남조선단체들 민족분렬을 끝장내기 위한 투쟁에 나설것을 호소,AR0126309,"fn_showArticle(""AR0126309"", """", ""NT02"", ""L"")"
남조선단체들 4.27판문점선언과 9월평양공동선언의 전면적리행을 요구,AR0126298,"fn_showArticle(""AR0126298"", """", ""NT02"", ""L"")"
남조선단체 북남선언리행을 위한 범국민운동을 호소,AR0126253,"fn_showArticle(""AR0126253"", """", ""NT02"", ""L"")"
남조선단체 조선반도평화를 위해 노력할것을 선언,AR0126224,"fn_showArticle(""AR0126224"", """", ""NT02"", ""L"")"
남조선단체 조선민족이 주인이 되여 평화실현을 위해 노력해야 한다고 주장,AR0126191,"fn_showArticle(""AR0126191"", """", ""NT02"", ""L"")"
남조선단체들 6월항쟁정신으로 적페청산투쟁에 나설것을 호소,AR0126155,"fn_showArticle(""AR0126155"", """", ""NT02"", ""L"")"
남조선 각계층시민들 보수단체들의 란동을 규탄,AR0126254,"fn_showArticle(""AR0126254"", """", ""NT02"", ""L"")"
남조선강원도에서 야생진드기에 의한 사망자 발생,AR0126225,"fn_showArticle(""AR0126225"", """", ""NT02"", ""L"")"
남조선각계층 군부깡패의 살인만행을 성토,AR0126192,"fn_showArticle(""AR0126192"", """", ""NT02"", ""L"")"
남조선방송 이전 《정권》의 민심기만행위 폭로,AR0126190,"fn_showArticle(""AR0126190"", """", ""NT02"", ""L"")"
남조선각계층 초불을 들고 적페를 청산하자고 호소,AR0126120,"fn_showArticle(""AR0126120"", """", ""NT02"", ""L"")"
김일성동지와 김정일동지의 동상을 찾아 총련 지바현상공회대표단 경모의 정 표시,AR0126313,"fn_showArticle(""AR0126313"", """", ""NT05"", ""L"")"
총련 지바현상공회대표단 도착,AR0126312,"fn_showArticle(""AR0126312"", """", ""NT05"", ""L"")"
김일성동지와 김정일동지의 동상을 찾아 재일조선고급학교 학생조국방문단들 경모의 정 표시,AR0126193,"fn_showArticle(""AR0126193"", """", ""NT05"", ""L"")"
김일성동지와 김정일동지의 동상을 찾아 재일동포조국방문단 경모의 정 표시,AR0126164,"fn_showArticle(""AR0126164"", """", ""NT05"", ""L"")"
총련의 방문단들 도착,AR0126162,"fn_showArticle(""AR0126162"", """", ""NT05"", ""L"")"
국제고려인통일련합회 잡지 《통일》 2019년 4-5월호 발행,AR0126154,"fn_showArticle(""AR0126154"", """", ""NT05"", ""L"")"
재일조선고급학교 학생조국방문단이 떠나갔다,AR0126153,"fn_showArticle(""AR0126153"", """", ""NT05"", ""L"")"
김일성동지와 김정일동지의 동상을 찾아 총련 지바현상공회대표단 경모의 정 표시,AR0126313,"fn_showArticle(""AR0126313"", """", ""NT21"", ""L"")"
최룡해동지 세이쉘공화국 국경절을 축하,AR0126295,"fn_showArticle(""AR0126295"", """", ""NT21"", ""L"")"
김정은동지께 베네수엘라 까라보보주 나구아나구아시가 최고훈장을 수여해드리였다,AR0126287,"fn_showArticle(""AR0126287"", """", ""NT21"", ""L"")"
"중국공산당 중앙위원회 총서기,중화인민공화국 주석 습근평동지가 조선을 방문한다",AR0126286,"fn_showArticle(""AR0126286"", """", ""NT21"", ""L"")"
김재룡동지 덕천지구탄광련합기업소 현지료해,AR0126281,"fn_showArticle(""AR0126281"", """", ""NT21"", ""L"")"
량면술책은 통하지 않는다--조선중앙통신사 론평,AR0126277,"fn_showArticle(""AR0126277"", """", ""NT21"", ""L"")"
"조선에서 도(직할시),시(구역),군인민회의 대의원선거를 위한 중앙선거지도위원회를 조직",AR0126169,"fn_showArticle(""AR0126169"", """", ""NT21"", ""L"")"
최룡해동지 조선과 까자흐스딴사이의 친선협조관계가 강화발전되리라는 확신 표명,AR0126127,"fn_showArticle(""AR0126127"", """", ""NT21"", ""L"")"
최룡해동지 필리핀독립 121돐을 축하,AR0126118,"fn_showArticle(""AR0126118"", """", ""NT21"", ""L"")"
전범기를 비호하는 목적은 무엇인가--조선중앙통신사 론평,AR0126117,"fn_showArticle(""AR0126117"", """", ""NT21"", ""L"")"
2018년-2019년 조선민주주의인민공화국 1부류축구련맹전소식(14),AR0126278,"fn_showArticle(""AR0126278"", """", ""NT11"", ""L"")"
보천보홰불상체육경기대회 도로이어달리기경기 진행,AR0126227,"fn_showArticle(""AR0126227"", """", ""NT11"", ""L"")"
2018년-2019년 조선민주주의인민공화국 녀자 1부류축구련맹전소식(12),AR0126226,"fn_showArticle(""AR0126226"", """", ""NT11"", ""L"")"
2018년-2019년 조선민주주의인민공화국 1부류축구련맹전소식(13),AR0126058,"fn_showArticle(""AR0126058"", """", ""NT11"", ""L"")"
2018년-2019년 조선민주주의인민공화국 녀자 1부류축구련맹전소식(11),AR0126009,"fn_showArticle(""AR0126009"", """", ""NT11"", ""L"")"
환경보호에 이바지할 연구성과들,AR0126297,"fn_showArticle(""AR0126297"", """", ""NT09"", ""L"")"
평양국제건강 및 의료기구부문 과학기술전시회 개막,AR0126283,"fn_showArticle(""AR0126283"", """", ""NT09"", ""L"")"
새로운 정밀주조석고제조와 주조기술 연구개발,AR0126122,"fn_showArticle(""AR0126122"", """", ""NT09"", ""L"")"
《온실남새부문 과학기술토론회-2019》 개막,AR0126095,"fn_showArticle(""AR0126095"", """", ""NT09"", ""L"")"
새로운 남새품종육종사업을 활발히--평양남새과학연구소에서,AR0126054,"fn_showArticle(""AR0126054"", """", ""NT09"", ""L"")"
도입전망이 큰 새로운 배낭식전동분무기 제작,AR0126038,"fn_showArticle(""AR0126038"", """", ""NT09"", ""L"")"
《전국소년과학환상문예작품 및 모형전시회-2019》 진행,AR0125978,"fn_showArticle(""AR0125978"", """", ""NT09"", ""L"")"
로씨야에서 통신위성 발사,AR0125784,"fn_showArticle(""AR0125784"", """", ""NT09"", ""L"")"
"조선에서 우량한 과일품종 40여개 육종,국가품종으로 등록",AR0125737,"fn_showArticle(""AR0125737"", """", ""NT09"", ""L"")"
남부수단에서 정보자료쎈터 설립,AR0125722,"fn_showArticle(""AR0125722"", """", ""NT09"", ""L"")"
세계급혈자의 날에 즈음한 행사 진행,AR0126159,"fn_showArticle(""AR0126159"", """", ""NT10"", ""L"")"
조선에서 적십자활동 활발,AR0126284,"fn_showArticle(""AR0126284"", """", ""NT10"", ""L"")"
평양국제건강 및 의료기구부문 과학기술전시회 개막,AR0126283,"fn_showArticle(""AR0126283"", """", ""NT10"", ""L"")"
재능있는 건축인재들을 육성,AR0126237,"fn_showArticle(""AR0126237"", """", ""NT10"", ""L"")"
라오스에서의 관광업발전노력,AR0125994,"fn_showArticle(""AR0125994"", """", ""NT19"", ""L"")"
마로끄에서 관광업 장려,AR0125222,"fn_showArticle(""AR0125222"", """", ""NT19"", ""L"")"
나날이 인기가 오르는 초경량비행기관광,AR0124762,"fn_showArticle(""AR0124762"", """", ""NT19"", ""L"")"
몽골에서의 관광업발전조치,AR0124566,"fn_showArticle(""AR0124566"", """", ""NT19"", ""L"")"
탄자니아의 관광업발전조치,AR0124526,"fn_showArticle(""AR0124526"", """", ""NT19"", ""L"")"
조선 국가관광총국과 로씨야 관광국사이의 협조에 관한 량해문 조인,AR0122941,"fn_showArticle(""AR0122941"", """", ""NT19"", ""L"")"
꾸바에서 유람선관광을 적극 장려,AR0122715,"fn_showArticle(""AR0122715"", """", ""NT19"", ""L"")"
랑만과 기쁨이 넘쳐나는 마식령스키장,AR0121949,"fn_showArticle(""AR0121949"", """", ""NT19"", ""L"")"
강서지구력사유적관광 시작,AR0121709,"fn_showArticle(""AR0121709"", """", ""NT19"", ""L"")"
조선의 명산 금강산,AR0120090,"fn_showArticle(""AR0120090"", """", ""NT19"", ""L"")"
노래 《배우자》,AR0123824,"fn_showArticle(""AR0123824"", """", ""NT33"", ""L"")"
노래 《조국의 밤》,AR0123592,"fn_showArticle(""AR0123592"", """", ""NT33"", ""L"")"
노래 《분조농사 꽃이 피네》,AR0123488,"fn_showArticle(""AR0123488"", """", ""NT33"", ""L"")"
노래 《종다리》,AR0123387,"fn_showArticle(""AR0123387"", """", ""NT33"", ""L"")"
노래 《한마음 따르렵니다》,AR0123291,"fn_showArticle(""AR0123291"", """", ""NT33"", ""L"")"
노래 《내 조국의 숲이여》,AR0122945,"fn_showArticle(""AR0122945"", """", ""NT33"", ""L"")"
노래 《구름너머 그리운 장군별님께》,AR0122714,"fn_showArticle(""AR0122714"", """", ""NT33"", ""L"")"
노래 《2월은 봄입니다》,AR0122534,"fn_showArticle(""AR0122534"", """", ""NT33"", ""L"")"
 노래 《김정일화》,AR0122286,"fn_showArticle(""AR0122286"", """", ""NT33"", ""L"")"
노래 《내가 지켜선 조국》,AR0122102,"fn_showArticle(""AR0122102"", """", ""NT33"", ""L"")"
