make_again,name,rating,slug,summary,tag
,Four Ways to Pick Up the Pace with Potato Cooking,,/expert-advice/how-to-cook-potatoes-faster-article,"Potatoes are beautiful for their simplicity. But something so simple shouldn’t take an hour to cook, right? Right. Here are four ways to get your potato fix faster.",article
100%,Cornbread Stuffing with Chorizo and Sweet Potatoes,4,/recipes/food/views/spicy-cornbread-stuffing-with-chorizo-and-sweet-potatoes,This flavor-packed holiday side feeds a crowd of 20 and takes care of both the stuffing and the sweet potatoes.,recipe
83%,Sheet-Pan Curry Pork Chops and Sweet Potatoes,3.5,/recipes/food/views/sheet-pan-curry-pork-chops-and-sweet-potatoes,"Roast halved sweet potatoes and spiced pork chops on one pan, then top with a lemony yogurt sauce, crispy radishes, and tart pomegranate seeds.",recipe
100%,Spicy Smoked Gouda Twice-Baked Potatoes,4,/recipes/food/views/spicy-smoked-gouda-twice-baked-potatoes,These are super easy to make; your fam and friends will be impressed and unable to stop praising your genius potato skills.,recipe
0%,Dill Potatoes,0,/recipes/food/views/dill-potatoes,"Serve these easy boiled potatoes with slow cooker corned beef, or any hearty main course.",recipe
,"For Faster Weeknight Potatoes, Microwave Them",,/expert-advice/a-brilliant-way-to-cook-potatoes-quickly-article,Sound revolutionary? No? Just wait.,article
,Weekly Meal Plan: April 29–May 3,,/recipes-menus/weekly-meal-plan-rotisserie-chicken-magic-one-pot-pasta-and-steak-thats-really-cauliflower-article,"Loaded baked potatoes, rotisserie chicken magic, and a super-fast tortilla soup with dunkable nachos.",article
,128 of Our Best Thanksgiving Sides,,/recipes-menus/best-make-ahead-side-dishes-for-thanksgiving-holiday-gallery,"How to fill your plate to the brim with sweet potatoes, mashed potatoes, green beans, brussels sprouts, and more.",gallery
,103 Gluten-Free Thanksgiving Recipes,,/recipes-menus/45-gluten-free-thanksgiving-recipes-gallery,It's easy to be gluten-free at Thanksgiving with these crowd-pleasing recipes.,gallery
50%,Lamb Tagine with Potatoes and Peas,2.5,/recipes/food/views/moroccan-lamb-tagine-with-potatoes-and-peas-lham-bel-btata-wa-jeblana,"Tagines are typical street food in Morocco, and this is the one that is most commonly found, except that street vendors cut the potatoes into small dice and I prefer to use new potatoes, which I leave whole if they are very small or halve if they are medium.",recipe
,97 Thanksgiving Potluck Ideas for Sides & Mains,,/recipes-menus/the-best-potluck-sides-for-friendsgiving-thanksgiving-party-gallery,"These crowd-friendly dishes, from hearty roasted squash to creamy potato gratins and fresh kale salads, will make you the potluck winner.",gallery
,Weekly Meal Plan: May 6–10,,/recipes-menus/weekly-meal-plan-mexican-flatbreads-sheet-pan-chicken-and-crispy-fish-article,"Mexican flatbreads, sheet-pan chicken, and crispy fish with potatoes and asparagus.",article
,155 Best Thanksgiving Recipes from Turkey to Stuffing,,/holidays-events/our-best-thanksgiving-recipes-reader-favorites-turkey-stuffing-pie-gallery,"From roasted turkey and creamy mashed potatoes to buttery dinner rolls and rich pecan pie, these recipes are sure to make you thankful indeed.",gallery
,This Soup! Has! Bananas!,,/recipes-menus/senegalese-soup-with-bananas-article,And potatoes and apples too. Revisiting an eccentric fave from the Gourmet archives.,article
0%,Crunchy Gluten-Free Chicken Tenders,0,/recipes/food/views/crunchy-gluten-free-chicken-tenders,Rice Chex cereal crushes up into a crunchy coating for these easy chicken fingers.,recipe
,This Cooling Rack Makes Everything Crispy (No Frying Required),,/expert-advice/this-cooling-rack-makes-everything-crispy-article,Striving for crispy chicken cutlets and french fries? You could invest in a deep-fryer. Or you could simply buy this common $12 tool.,article
,The Best Vegetable Peelers,,/expert-advice/epi-tested-best-vegetable-peeler-review-article,The peeler is a simple and economical kitchen workhorse. Here's how to choose the right one.,article
100%,Charred Sweet Potatoes with Toum,3,/recipes/food/views/charred-sweet-potatoes-with-toum,"This recipe is nice twice. The roasting and honey-glazing method is a great way to make sweet potatoes, and you also get an eggless garlic sauce that you’ll use again and again.",recipe
0%,Slow Cooker Corned Beef Brisket,0,/recipes/food/views/slow-cooker-corned-beef-brisket-with-cabbage-potatoes-and-dill-hugh-acheson,"Corned beef is timeless and deserves a spot at the table, not just on St. Paddy’s Day. It is a crowd-pleaser that loves the low-and-slow ethos of the slow cooker, turning it tender without fail.",recipe
0%,Slow Cooker Miso-Butter Roast Chicken and Potatoes,0,/recipes/food/views/slow-cooker-miso-butter-roast-chicken-and-potatoes,"Slow-cooking a ""roast"" chicken yields moist, juicy meat but flabby skin—the easy fix is to run the carved chicken under the broiler to crisp the skin before serving.",recipe
93%,Tandoori Chicken Sheet-Pan Supper,3.5,/recipes/food/views/tandoori-chicken-and-vegetable-sheet-pan-supper,No tandoor oven? No problem. This recipe for chicken and vegetables marinated in yogurt and spices is cooked on a single sheet pan in a regular home oven.,recipe
80%,Lentil and Chicken Soup with Sweet Potatoes,3.5,/recipes/food/views/lentil-and-chicken-soup-with-sweet-potatoes-and-escarole,"Turn store-bought rotisserie chicken (or leftover turkey, if you still have some kicking around) into a hearty soup in about half an hour. Fresh dill and lemon add a nice dose of brightness.",recipe
100%,Parsnip Skordalia,4,/recipes/food/views/parsnip-skordalia,"This riff on the Greek classic swaps out potatoes for parsnips, which gives the dip a touch of sweetness that pairs well with the feta and chiles.",recipe
100%,Maple Meatloaf Muffins,4,/recipes/food/views/maple-meatloaf-muffins,"Sweet potatoes and maple syrup add natural sweetness to these muffins—perfect for prepping for a week of breakfasts, dinners, or lunches.",recipe
100%,Black Lentil and Harissa-Roasted Veggie Bowl,4,/recipes/food/views/black-lentil-and-harissa-roasted-veggie-bowl,"We love the roasted sweet potatoes in this bowl, but any hardy vegetable would be just as delicious. Try delicata squash, cauliflower, or eggplant.",recipe
,Our Best Steakhouse Recipes for Father's Day,,/recipes-menus/steak-night-for-dad-fathers-day-menu-gallery,There will be potatoes.,gallery
,Small Plates Kids Cooking Camp: Day Four,,/holidays-events/small-plates-kids-cooking-camp-day-four-article,Scramble the eggs and pack the potatoes.,article
,50 People Try to Peel and Cube a Potato | Basic Skills Challenge,,http://video.epicurious.com/watch/50-people-try-to-peel-and-cube-a-potato,It's no longer kitchen or military busy-work when you set the potatoes in front of a camera! 50 people each try to peel and cube a potato. Like 48 of them basically do it. Someone uses a cheese grater. I don't know...it wasn't even staged.,video
,101 Side Dish Recipes to Pair With Ham,,/expert-advice/side-dish-recipes-to-pair-with-ham-from-mac-and-cheese-to-green-beans-and-casseroles-gallery,"From mac and cheese to green beans and casseroles, these side dishes balance the richness of salty, amazing ham—and they might even steal the show.",gallery
100%,New Year's Eve Meat Pie,4,/recipes/food/views/new-years-eve-meat-pie,Store-bought puff pastry and a meat-and-potatoes filling come together as your New Year’s Eve dinner centerpiece.,recipe
100%,Chicken Stew with Potatoes and Radishes,4,/recipes/food/views/chicken-stew-with-potatoes-and-radishes,This one-pot comfort-food stew takes its flavor cues from chicken paprikash. Cooking low and slow is the key to getting deep flavor and the perfect texture; make sure to simmer the stew until the potatoes are creamy and the chicken is pull-apart tender.,recipe
,The Best Kitchen Sales to Shop This Weekend,,/expert-advice/kitchen-sales-september-22-article,"KitchenAid, Breville, and more.",article
100%,Crispy Skin Chicken with Dill and Garlic Sauce,4,/recipes/food/views/crispy-skin-chicken-with-dill-and-garlic-sauce,"Served with garlicky boiled potatoes and topped with crunchy fried shallots and lots of fresh dill, this dish is perfect to welcome spring.",recipe
,Our 76 Best Thanksgiving Side Dishes,,/recipes-menus/our-best-thanksgiving-vegetable-side-dishes-gallery,"Here's how to make sure your guests get plenty of Brussels sprouts, sweet potatoes, and green beans and more on Turkey Day.",gallery
50%,Burnished Potato Nuggets,3,/recipes/food/views/burnished-potato-nuggets,Any cooking oil or rendered fat will work for making these supremely crunchy potatoes. Bonus: The fluffy insides are perfect for sopping up gravy.,recipe
,Kids Try Potato Dishes From Around the World,,http://video.epicurious.com/watch/kids-try-kids-try-potato-dishes-from-around-the-world,"Everybody likes potatoes and every country has their own way of preparing them! Kids react to exotic potato dishes from all over the world, including sui-to-poteto from Japan, poutine from Canada and more!",video
100%,Steak and Crispy Smashed Potatoes for Two,3.5,/recipes/food/views/rib-eye-steak-and-crispy-smashed-potatoes-for-two,"Looking for a special dinner for two? First, pan-sear one big steak to share. Then, while the steak rests, use the fat rendered behind in the skillet to sear smashed paprika-spiced potatoes to crispy, golden perfection.",recipe
,The Sweet Potato Sonker is the Thanksgiving Dessert You Didn't Know You Needed,,/expert-advice/sweet-potato-sonker-casserole-article,Until now.,article
,Every Thanksgiving Recipe You Could Ever Need,,/holidays-events/best-thanksgiving-recipes-package,"More than 380 recipes for turkeys, potatoes, biscuits, pies, and drinks.",guide
100%,Herby Garlic Confit,2.5,/recipes/food/views/herby-garlic-confit,"You can spread the cloves on grilled bread, marinate olives and feta with the garlicky oil, mash cloves into store-bought mayo, or stir into mashed potatoes.",recipe
83%,Crispy Baby Yukon Gold Potatoes,3.5,/recipes/food/views/crispy-baby-yukon-gold-potatoes,You can’t go wrong with roasted potatoes for a holiday meal. A mix of fresh thyme and nutmeg keeps this version interesting.,recipe
88%,Sausage and Greens Sheet-Pan Dinner,3.5,/recipes/food/views/sausage-and-greens-sheet-pan-dinner,"With crispy mini potatoes and hearty greens that are roasted in a sweet-tart mustard dressing, this 25-minute dinner is an easy crowd-pleaser.",recipe
,What to Cook This Weekend: October 5–7,,/recipes-menus/what-to-cook-this-weekend-october-5-7-gallery,It's time to start buying all the apples and squash you can.,gallery
0%,Salsa Rustica with Egg and Pancetta,0,/recipes/food/views/salsa-rustica-with-egg-and-pancetta,"Spoon salsa rustica over grilled bread, grilled or roasted vegetables, roasted potatoes, sautéed greens, sliced tomatoes, boiled green beans, or cauliflower.",recipe
,Our 55 Best Fall Salads,,/recipes-menus/our-favorite-fall-salads-gallery,"Turn to these hearty, healthy salad recipes whenever the weather turns cool.",gallery
88%,Roasted Niçoise Salad with Halibut,3.5,/recipes/food/views/roasted-nicoise-salad-with-halibut-green-beans-potatoes-artichoke-hearts,"Jarred marinated artichoke hearts get super-crispy and addictively delicious when roasted, making them the secret star of this simple sheet-pan dinner.",recipe
100%,Ultra-Creamy Mashed Potatoes,3,/recipes/food/views/ultra-creamy-mashed-potatoes,"Unpeeled potatoes absorb less moisture when boiled, and the ricer will catch the skins—great news for lazy cooks everywhere.",recipe
50%,Instant Pot Beef and Sweet Potato Chili,2.5,/recipes/food/views/instant-pot-beef-and-sweet-potato-chili,"Sweet potatoes almost melt as they cook under pressure in the Instant Pot, lending a silky texture and sweet flavor to this harissa-spiced chili.",recipe
,117 Vegetarian Recipes Perfect for Family Dinners,,/recipes-menus/kid-friendly-vegetarian-recipes-gallery,"Loaded sweet potatoes, veggie-packed pizza and pasta, and plenty of protein-rich beans—these totally meatless recipes are easy to make and will keep your family full every night of the week.",gallery
,"123 Thanksgiving Dessert Recipes for Pies, Cakes, Cookies, and More",,/holidays-events/best-thanksgiving-desserts-pies-cakes-cookies-tarts-gallery,"From easy tarts and galettes to showstopping multi-layered cakes, these seasonal fall desserts rely on apples, pumpkin, sweet potatoes, pecans, and spices to bring plenty of familiar flavor in both classic Turkey Day desserts and updated treats.",gallery
0%,Potato Tart with Mustard Greens and Thyme,0,/recipes/food/views/potato-tart-with-mustard-greens-and-lemon-thyme,"Whole wheat phyllo dough makes a crispy crust for this lively potato tart with the flavors of mustard greens, lemon thyme, and goat cheese.",recipe
,A Modern Thanksgiving Menu for 10–12,,/holidays-events/a-thanksgiving-menu-for-10-12-article,"The sweet potatoes, the turkey, the cranberry sauce—it's all there. It's just a little fresher, and a lot easier to pull off, than the menu Grandma would have made.",article
71%,Perfectly Roasted Potatoes,3,/recipes/food/views/perfectly-roasted-potatoes,"You know what goes with pretty much everything? Crispy, creamy, perfectly roasted potatoes. The secret: Steam before you roast.",recipe
100%,"Farro Salad with Roasted Sweet Potatoes, Red Onion, and Goat Cheese",4,/recipes/food/views/farro-salad-with-roasted-sweet-potatoes-red-onion-and-goat-cheese,"I love me a farro salad! The hearty grain is an amazing base for all sorts of veggie combinations and it’s super convenient to work with since you can cook it several days ahead. I tend to follow a loose formula: farro plus roasted veggies, a bright herb, a crunchy nut or seed, some creamy cheese, and a zingy dressing. Here, sweet potatoes and red onions caramelize gorgeously in the oven, while the earthy goat cheese and zippy vinaigrette balance out the sweetness. Feel free to play—roasted beets or winter squash would be lovely, as would hazelnuts, almonds, or feta.",recipe
0%,Roasted Winter Squash with Kale Pipian,2,/recipes/food/views/roasted-winter-squash-with-kale-pipian,"If you can find it, try making this green sauce with hoja santa, a robust aromatic Mexican herb—if not, any hardy green will work (we call for kale).",recipe
100%,Roasted Sweet Potatoes with Chile Yogurt and Mint,3.5,/recipes/food/views/roasted-sweet-potatoes-with-chile-yogurt-and-mint,This twice-roasted method allows for the sweet potatoes to get super-creamy on the inside while their skins get a little crispy.,recipe
,5 Secret-Weapon Seasoning Mixes That Will Change the Way You Cook,,/ingredients/our-5-favorite-secret-weapon-seasoning-mixes-gallery,Including salts made from chicken and anchovies.,gallery
100%,Grilled Clambake with Miso-Lime Butter,3.5,/recipes/food/views/grilled-clambake-with-miso-lime-butter,"Clams, potatoes, shrimp, and corn on the cob get an extra layer of flavor when grilled and brushed with gingery miso butter in this festive, large-format feast.",recipe
0%,Sweet Potato Toasts with Toppings,0,/recipes/food/views/sweet-potato-toasts-with-toppings,"Serve this easy-to-make “toast” just as you would traditional toast and top it with your favorite toppings, such as avocado, a poached or fried egg, microgreens, tahini, fresh berries, hemp seeds, a nut butter, bananas, or strawberries.",recipe
64%,Chicken Fricassée with Lemon Mustard Sauce,3,/recipes/food/views/chicken-fricassee-with-lemon-mustard-sauce-109106,There may be more sauce than you need to serve with the chicken. Use the leftovers on mashed potatoes or simply freeze for another time.,recipe
100%,Here Comes the Sun Breakfast Bowl,4,/recipes/food/views/here-comes-the-sun-breakfast-grain-bowl,"Pile roasted sweet potatoes, sautéed kale, black beans, and a sunny-side egg over grains for a healthful, filling grain bowl that'll power you through the day.",recipe
,Sweet Potato vs. Yam: What's the Difference?,,/ingredients/whats-the-difference-between-sweet-potatoes-and-yams-article,A tuber tutorial.,article
100%,Cucumbers with Ajo Blanco Sauce,4,/recipes/food/views/cucumbers-with-ajo-blanco-sauce,"Think of this as an all-purpose garlic sauce. Once you get the hang of making it, try swapping cashews or blanched hazelnuts for the almonds.",recipe
100%,Low-Fuss Crispy Roast Chicken,4,/recipes/food/views/low-fuss-crispy-roast-chicken,"Rendering fat trickles from the chicken as it roasts onto a bed of sliced potatoes and onions, resulting in a deliciously crisp and juicy low-fuss bird with a built-in side dish.",recipe
,Weekly Meal Plan: December 17–21,,/expert-advice/weekly-meal-plan-braised-beef-crispy-chicken-and-kale-minestrone-article,"A big batch of braised beef, easy sheet-pan chicken, and a hearty soup.",article
,Weekly Meal Plan: January 28–February 1,,/recipes-menus/weekly-meal-plan-savory-beef-cheddar-pies-mustard-chicken-and-a-baked-potato-bar-article,"Savory beef-cheddar pies, mustard chicken, and a baked potato bar.",article
,Weekly Meal Plan: May 27-31,,/recipes-menus/weekly-meal-plan-pork-burgers-roasted-salmon-grilled-cheese-article,"With Southeast Asian-inspired burgers and stir-fried noodles on the menu, deconstructed dumplings provide the building materials for more than one meal.",article
67%,Stuffed Sweet Potatoes with Curried Chickpeas,2.5,/recipes/food/views/stuffed-sweet-potatoes-with-curried-chickpeas-and-mushrooms,"Embrace the start of autumn with cozy, Indian-inspired sweet potatoes loaded with curry-spiced chickpeas, mushrooms, and spinach.",recipe
,Weekly Meal Plan: March 4–8,,/recipes-menus/weekly-meal-plan-garlicky-chicken-a-super-sized-batch-of-rice-and-instant-pot-shrimp-article,Plus all our best tips for making it happen.,article
0%,No-Frills Shrimp Boil,0,/recipes/food/views/no-frills-shrimp-boil-with-corn-and-new-potatoes,Set a large colander in the sink before you add the shrimp so you can drain the boil as soon as it comes off the heat.,recipe
,Weekly Meal Plan: February 4–8,,/expert-advice/weekly-meal-plan-cozy-braised-lamb-baked-risotto-and-roasted-fish-article,"A week of warm, satisfying dinners that fend off the cold.",article
,"Small Plates Kids Cooking Camp, Week 1: The Grocery List",,/expert-advice/small-plates-kids-cooking-camp-week-1-the-grocery-list-article,Everything you'll need to follow along this week.,article
,Big-Batch Ground Beef Without All the Work,,/expert-advice/big-batch-ground-beef-11-dinners-to-make-article,Make enough meat for a week's worth of meals in less than half an hour.,article
,This Is How to Make a Guisado (P.S. You've Probably Been Making Them Your Whole Life),,/expert-advice/how-to-make-a-guisado-article,"Guisado, or guiso, is a term for something braised, stewy, homey, and delicious. It's a Mexican concept, but it can be applied to food worldwide.",article
,Weekly Meal Plan: June 17–21,,/recipes-menus/weekly-meal-plan-halibut-grilled-chicken-spinach-artichoke-sandwich-article,"Butter-roasted halibut, ginger-grilled chicken, and a spinach-artichoke...sandwich.",article
,5 Kitchen Tools to Buy on Sale This Weekend,,/expert-advice/weekend-sales-5-kitchen-tools-to-buy-on-sale-this-weekend-article,Snag some of our favorite products at a discount!,article
,Weekly Meal Plan: April 8–12,,/recipes-menus/weekly-meal-plan-zingy-pineapple-shrimp-sheet-pan-tandoori-chicken-and-the-worlds-easiest-enchiladas-article,"Zingy pineapple shrimp, sheet-pan tandoori chicken, and the world’s easiest enchiladas.",article
,A Totally Doable (and Delicious) Thanksgiving Menu for 20–40,,/recipes-menus/thanksgiving-menu-for-20-article,The first rule of hosting for 20 or more: let go of the Norman Rockwell turkey-carving moment.,article
100%,BBQ Pork Chops with Herb-Butter Corn and Sweet Potatoes,2,/recipes/food/views/bbq-pork-chops-with-herb-butter-corn-and-sweet-potatoes,"You don't have to fire up the grill to enjoy a taste of barbecue. This pork chop dinner makes use of the broiler to get those smoky, charred flavors on the table anytime you want them.",recipe
,Weekly Meal Plan: December 10–14,,/recipes-menus/weekly-meal-plan-kid-friendly-filipino-pork-stew-and-tandoori-inspired-chicken-article,"Featuring a comforting Filipino menudo, stuffed shells that are actually doable on a weeknight, and a kid-friendly tandoori.",article
,Weekly Meal Plan: October 22–26,,/recipes-menus/weekly-meal-plan-a-life-changing-tomato-sauce-crispy-chicken-and-indian-spiced-shrimp-article,"Life-changing tomato sauce, crispy chicken, and Indian-spiced shrimp.",article
,These Are the Best Spiralizers,,/expert-advice/best-spiralizers-article,We tested 9 spiralizers to find the best model for all kinds of carb-fearing zoodle-izers.,article
,Weekly Meal Plan: July 16–20,,/recipes-menus/weekly-meal-plan-for-july-16-20-a-week-of-paleo-friendly-dinners-article,A week of paleo-friendly dinners.,article
,The Big-Batch of Braised Beef Your Family Will Go Nuts For,,/expert-advice/big-batch-braised-beef-article,It's a freezer-friendly meal that feels fancy but couldn't be easier to make.,article
,How to Cook Two Dinners at Once (Without Even Realizing You're Doing It),,/recipes-menus/how-to-cook-two-dinners-at-once-article,"It's called nextovering, and it's a life-saving technique when you're doing COOK90.",article
,Ruth Reichl's Favorite Recipes from the Gourmet Years,,/recipes-menus/ruth-reichl-favorite-gourmet-recipes-article,These are the recipes she cooks again and again.,article
,Weekly Meal Plan: October 29–November 2,,/recipes-menus/weekly-meal-plan-a-super-easy-week-with-pork-chops-noodles-and-pizza-article,We’ve got plenty of tricks—and treats—in store for you.,article
,Weekly Meal Plan: January 7–12,,/expert-advice/weekly-meal-plan-simply-roasted-salmon-sheet-pan-sausage-and-life-changing-polenta-article,You’ll have time to put up your feet every night this week.,article
,We Found the Best Mandoline,,/expert-advice/best-mandoline-slicer-article,And it's only $16.,article
,Grocery List for Our Modern Thanksgiving Menu for 10–12,,/holidays-events/grocery-list-for-our-modern-thanksgiving-menu-for-10-12-article,Everything you need to cook our simple but sophisticated Thanksgiving menu.,article
,Weekly Meal Plan: April 15–19,,/recipes-menus/weekly-meal-plan-lamb-meatballs-sheet-pan-salmon-and-mind-blowing-tofu-article,It's so good you'll forget it's Tax Week.,article
,5 Ways to Use a Box Grater (That Have Nothing to Do With Cheese),,/expert-advice/4-ways-to-use-a-cheese-grater-that-have-nothing-to-do-with-cheese-article,It's more versatile than you think.,article
,4 Warming Weeknight Meals To Come Home To,,/sponsored/4-warming-weeknight-meals-to-come-home-to-article,"Few feelings are more satisfying than coming in from the cold to a piping-hot bowl of soup, a hearty stew, or a wholesome hot dish. Whether it’s a cheesy French onion or a gingery rendition of classic chicken soup, with Campbell’s® soup and Swanson® broth and stock on hand, you’ll be whipping up these recipes in no time. And we’re pretty sure the family will be asking for seconds.",article
0%,Sweet Potato Sonker with Milk Dip,0,/recipes/food/views/sweet-potato-sonker-with-milk-dip,"This North Carolinian cobbler-like dessert, with both a bottom crust and lattice top, is topped with a sweetened milk “dip” after baking for a time and then returned to the oven so that the dip forms a rich glaze.",recipe
,The Best Chef's Knives for Everyday Kitchen Tasks,,/expert-advice/best-chefs-knife-article,Knives are intimidating. We did the heavy slicing for you and found three kitchen workhorses that'll last.,article
,This Thanksgiving Menu Only Takes 3 Hours,,http://video.epicurious.com/watch/last-minute-thanksgiving,"Yes, you can put a complete Thanksgiving dinner (and dessert!) on the table and spend only three hours in the kitchen.",video
,"The Best Santoku Knife for the Most Delicate, Precise Knife Work",,/expert-advice/best-santoku-knife-article,"For tender herbs and butchering meat with precision, the agile santoku is an excellent knife to have in your arsenal. Here's our favorite one.",article
,23 Ways to Make Mashed Potatoes,,/recipes-menus/the-best-mashed-potato-recipes-gallery,"From butter and cream to cheeses and spice, there is more than one way to dreamy mashed-potato goodness.",gallery
,The Official Meal Plan of COOK90 2019,,/recipes-menus/official-cook90-meal-plan-2019-article,"This month-long meal plan is full of fast dinners and plenty of nextovers, both of which ensure your COOK90 will be cool, collected, and calm.",article
,A No-Stress Thanksgiving Menu for 2–4,,/recipes-menus/thanksgiving-menu-for-two-to-four-article,"How do you make a menu of golden turkey breast, luscious spoon bread, and a pecan-cranberry galette actually easy? Make it for a party of four (or less).",article
,9 Easter Menus for Any Occasion,,/recipes-menus/our-favorite-easter-menus-article,"Whether you're planning a casual Southern picnic or a Ukrainian lamb feast, we've got you covered.",article
,Gratin Season Is Here,,/recipes-menus/how-to-make-root-vegetable-potato-au-gratin-without-a-recipe-article,It's time to get your gratin on.,article
69%,Instant Pot Caldo Verde,2,/recipes/food/views/instant-pot-caldo-verde,"The ingredients of this classic Portuguese soup (namely chorizo, kale, and potatoes) meld beautifully under pressure, so you only need water—no stock—to get a savory, rich broth.",recipe
,The 5 Make-Ahead Breakfasts We Lean on During COOK90,,/recipes-menus/how-make-ahead-breakfasts-can-help-you-survive-cook90-article,"For those of us who are not morning people, big-batch breakfasts are the secret to eating a homemade meal every morning.",article
,"Family Dinner Wins: 5 Easy, Back-Pocket Meals That Save Us From Takeout",,/expert-advice/family-dinner-wins-easy-back-pocket-meals-article,"The last-minute recipes born of necessity—and, occasionally, desperation—that end up becoming family favorites.",article
,Secrets of the Happy Vegetarian Clan,,/expert-advice/vegetarian-tips-for-kids-article,"Plant-based cooking for the entire family doesn't mean pasta every night. Here's how Hetty McKinnon, author of the new cookbook Family, put the whole crew on a green diet that they can't get enough of.",article
,41 Sides to Make with Pork Crown Roast,,/recipes-menus/41-sides-for-pork-crown-roast-gallery,These sides might just steal the crown.,gallery
,5 Kitchen Tools to Buy on Sale This Weekend,,/expert-advice/weekend-sale-5-kitchen-tools-to-buy-article,"Everything you need to chop, spin, and slice.",article
0%,Charred Sweet Potatoes with Honey and Olive Oil,0,/recipes/food/views/charred-sweet-potatoes-with-honey-and-olive-oil,Japanese sweet potatoes are starchier than yams and worth seeking out. Steaming before grilling keeps them moist.,recipe
0%,Charred Sweet Potatoes with Honey and Olive Oil,0,/recipes/food/views/charred-sweet-potatoes-with-honey-and-olive-oil,Japanese sweet potatoes are starchier than yams and worth seeking out. Steaming before grilling keeps them moist.,recipe
,A Retro-Classic Christmas Dinner Menu,,/expert-advice/a-retro-classic-christmas-dinner-menu-article,"Our new holiday dinner menu is full of the mid-century continental cuisine your grandparents might have served, but better.",article
,Stunning Tabletop Gifts That Will Make Dinner Instagram-Worthy,,/expert-advice/tabletop-holiday-gifts-christmas-entertaining-article,"Give that host the most by gifting them the nattiest napkins, the perfect placemats, and a bountiful (read: big-ass) bowl.",article
